material_code,date,production_yield
CC-F05            ,20-08-2019,17200
CC-F05            ,03-09-2019,8862
CC-F05            ,04-09-2019,10138
CC-F05            ,16-09-2019,12705
CC-F05            ,17-09-2019,6295
CC-F05            ,01-10-2019,19000
CC-F05            ,23-10-2019,10837
CC-F05            ,24-10-2019,14022
CC-F05            ,11-11-2019,14870
CC-F05            ,12-11-2019,5130
CC-F05            ,26-11-2019,20000
CC-F05            ,02-12-2019,2930
CC-F05            ,03-12-2019,18070
CC-F05            ,18-12-2019,8588
CC-F05            ,19-12-2019,12412
CC-F05            ,14-01-2020,24628
CC-F05            ,15-01-2020,1871
CC-F05            ,29-01-2020,5288
CC-F05            ,30-01-2020,16712
CC-F05            ,07-02-2020,9397
CC-F05            ,10-02-2020,12603
CC-F05            ,27-02-2020,22667
CC-F05            ,28-02-2020,333
CC-F05            ,13-03-2020,23000
CC-F05            ,23-03-2020,23000
CC-F05            ,08-04-2020,118
CC-F05            ,09-04-2020,22882
CC-F05            ,27-04-2020,4463
CC-F05            ,28-04-2020,18537
CC-F06            ,18-07-2019,7400
CC-F06            ,19-07-2019,18600
CC-F06            ,26-07-2019,14600
CC-F06            ,29-07-2019,4400
CC-F06            ,22-08-2019,3600
CC-F06            ,23-08-2019,15400
CC-F06            ,30-08-2019,7508
CC-F06            ,02-09-2019,11492
CC-F06            ,12-09-2019,13601
CC-F06            ,13-09-2019,5399
CC-F06            ,02-10-2019,19000
CC-F06            ,25-10-2019,2403
CC-F06            ,28-10-2019,23345
CC-F06            ,08-11-2019,13992
CC-F06            ,11-11-2019,6008
CC-F06            ,22-11-2019,20000
CC-F06            ,05-12-2019,4034
CC-F06            ,06-12-2019,16966
CC-F06            ,19-12-2019,9577
CC-F06            ,20-12-2019,11423
CC-F06            ,02-01-2020,16714
CC-F06            ,03-01-2020,4286
CC-F06            ,16-01-2020,21000
CC-F06            ,05-02-2020,8223
CC-F06            ,06-02-2020,13777
CC-F06            ,10-02-2020,9984
CC-F06            ,11-02-2020,12016
CC-F06            ,16-03-2020,23000
CC-F06            ,30-03-2020,23000
CC-F06            ,29-04-2020,5253
CC-F06            ,30-04-2020,17747
CC-F06            ,11-05-2020,8413
CC-F11            ,22-07-2019,1600
CC-F11            ,23-07-2019,17400
CC-F11            ,25-07-2019,21000
CC-F11            ,26-07-2019,5000
CC-F11            ,21-08-2019,3000
CC-F11            ,22-08-2019,16000
CC-F11            ,02-09-2019,8185
CC-F11            ,03-09-2019,10815
CC-F11            ,18-09-2019,14059
CC-F11            ,19-09-2019,4941
CC-F11            ,03-10-2019,19000
CC-F11            ,29-10-2019,23533
CC-F11            ,30-10-2019,163
CC-F11            ,12-11-2019,15748
CC-F11            ,13-11-2019,4252
CC-F11            ,25-11-2019,20000
CC-F11            ,04-12-2019,3666
CC-F11            ,05-12-2019,17334
CC-F11            ,20-12-2019,10566
CC-F11            ,23-12-2019,10434
CC-F11            ,31-12-2019,15725
CC-F11            ,02-01-2020,5275
CC-F11            ,21-01-2020,21000
CC-F11            ,03-02-2020,7049
CC-F11            ,04-02-2020,14951
CC-F11            ,14-02-2020,9920
CC-F11            ,17-02-2020,12080
CC-F11            ,26-02-2020,22272
CC-F11            ,27-02-2020,728
CC-F11            ,11-03-2020,23000
CC-F11            ,03-04-2020,23000
CC-F11            ,07-04-2020,23000
CC-F11            ,30-04-2020,5648
CC-F11            ,01-05-2020,17352
CC-F12            ,19-07-2019,1000
CC-F12            ,22-07-2019,18000
CC-F12            ,23-07-2019,2200
CC-F12            ,24-07-2019,23800
CC-F12            ,20-08-2019,2400
CC-F12            ,21-08-2019,16600
CC-F12            ,29-08-2019,6831
CC-F12            ,30-08-2019,12169
CC-F12            ,24-09-2019,15685
